timestamp,src_ip,dst_ip,protocol_name,session_id,detection_status,phase,packet_rate,packet_count,threat_score,dpid_name,event_note
2026-07-14 20:17:52.834581,10.0.0.1,10.0.0.2,ICMP,10.0.0.1->10.0.0.2:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:17:52.906086,10.0.0.1,10.0.0.3,ICMP,10.0.0.1->10.0.0.3:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:17:53.009813,10.0.0.1,10.0.0.4,ICMP,10.0.0.1->10.0.0.4:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:17:53.072336,10.0.0.1,10.0.0.5,ICMP,10.0.0.1->10.0.0.5:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:17:53.159491,10.0.0.1,10.0.0.6,ICMP,10.0.0.1->10.0.0.6:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:17:53.174953,10.0.0.1,10.0.0.6,ICMP,10.0.0.1->10.0.0.6:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:17:53.183240,10.0.0.1,10.0.0.6,ICMP,10.0.0.1->10.0.0.6:ICMP,NORMAL,NORMAL,3.0,3,5,s3,icmp_non_victim
2026-07-14 20:17:53.278298,10.0.0.1,10.0.0.7,ICMP,10.0.0.1->10.0.0.7:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:17:53.281540,10.0.0.1,10.0.0.7,ICMP,10.0.0.1->10.0.0.7:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:17:53.295708,10.0.0.1,10.0.0.7,ICMP,10.0.0.1->10.0.0.7:ICMP,NORMAL,NORMAL,3.0,3,5,s3,icmp_non_victim
