timestamp,src_ip,dst_ip,protocol_name,session_id,detection_status,phase,packet_rate,packet_count,threat_score,dpid_name,event_note
2026-07-14 20:26:14.922891,10.0.0.1,10.0.0.2,ICMP,10.0.0.1->10.0.0.2:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:14.947463,10.0.0.1,10.0.0.3,ICMP,10.0.0.1->10.0.0.3:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:14.975303,10.0.0.1,10.0.0.4,ICMP,10.0.0.1->10.0.0.4:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.023312,10.0.0.1,10.0.0.5,ICMP,10.0.0.1->10.0.0.5:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.075589,10.0.0.1,10.0.0.6,ICMP,10.0.0.1->10.0.0.6:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.087932,10.0.0.1,10.0.0.6,ICMP,10.0.0.1->10.0.0.6:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.093347,10.0.0.1,10.0.0.6,ICMP,10.0.0.1->10.0.0.6:ICMP,NORMAL,NORMAL,3.0,3,5,s3,icmp_non_victim
2026-07-14 20:26:15.173909,10.0.0.1,10.0.0.7,ICMP,10.0.0.1->10.0.0.7:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.185724,10.0.0.1,10.0.0.7,ICMP,10.0.0.1->10.0.0.7:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.190188,10.0.0.1,10.0.0.7,ICMP,10.0.0.1->10.0.0.7:ICMP,NORMAL,NORMAL,3.0,3,5,s3,icmp_non_victim
2026-07-14 20:26:15.265314,10.0.0.1,10.0.0.8,ICMP,10.0.0.1->10.0.0.8:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.272656,10.0.0.1,10.0.0.8,ICMP,10.0.0.1->10.0.0.8:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.284704,10.0.0.1,10.0.0.8,ICMP,10.0.0.1->10.0.0.8:ICMP,NORMAL,NORMAL,3.0,3,5,s3,icmp_non_victim
2026-07-14 20:26:15.351327,10.0.0.1,10.0.0.9,ICMP,10.0.0.1->10.0.0.9:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.360346,10.0.0.1,10.0.0.9,ICMP,10.0.0.1->10.0.0.9:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.366778,10.0.0.1,10.0.0.9,ICMP,10.0.0.1->10.0.0.9:ICMP,NORMAL,NORMAL,3.0,3,5,s3,icmp_non_victim
2026-07-14 20:26:15.436286,10.0.0.1,10.0.0.10,ICMP,10.0.0.1->10.0.0.10:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.443971,10.0.0.1,10.0.0.10,ICMP,10.0.0.1->10.0.0.10:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.449738,10.0.0.1,10.0.0.10,ICMP,10.0.0.1->10.0.0.10:ICMP,NORMAL,NORMAL,3.0,3,5,s3,icmp_non_victim
2026-07-14 20:26:15.515284,10.0.0.1,10.0.0.11,ICMP,10.0.0.1->10.0.0.11:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.522421,10.0.0.1,10.0.0.11,ICMP,10.0.0.1->10.0.0.11:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.529599,10.0.0.1,10.0.0.11,ICMP,10.0.0.1->10.0.0.11:ICMP,NORMAL,NORMAL,3.0,3,5,s4,icmp_non_victim
2026-07-14 20:26:15.616692,10.0.0.1,10.0.0.12,ICMP,10.0.0.1->10.0.0.12:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.623263,10.0.0.1,10.0.0.12,ICMP,10.0.0.1->10.0.0.12:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.629541,10.0.0.1,10.0.0.12,ICMP,10.0.0.1->10.0.0.12:ICMP,NORMAL,NORMAL,3.0,3,5,s4,icmp_non_victim
2026-07-14 20:26:15.681925,10.0.0.1,10.0.0.13,ICMP,10.0.0.1->10.0.0.13:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.689301,10.0.0.1,10.0.0.13,ICMP,10.0.0.1->10.0.0.13:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.693796,10.0.0.1,10.0.0.13,ICMP,10.0.0.1->10.0.0.13:ICMP,NORMAL,NORMAL,3.0,3,5,s4,icmp_non_victim
2026-07-14 20:26:15.745707,10.0.0.1,10.0.0.14,ICMP,10.0.0.1->10.0.0.14:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.752751,10.0.0.1,10.0.0.14,ICMP,10.0.0.1->10.0.0.14:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.757983,10.0.0.1,10.0.0.14,ICMP,10.0.0.1->10.0.0.14:ICMP,NORMAL,NORMAL,3.0,3,5,s4,icmp_non_victim
2026-07-14 20:26:15.820680,10.0.0.1,10.0.0.15,ICMP,10.0.0.1->10.0.0.15:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.832512,10.0.0.1,10.0.0.15,ICMP,10.0.0.1->10.0.0.15:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.839954,10.0.0.1,10.0.0.15,ICMP,10.0.0.1->10.0.0.15:ICMP,NORMAL,NORMAL,3.0,3,5,s4,icmp_non_victim
2026-07-14 20:26:15.899318,10.0.0.1,10.0.0.16,ICMP,10.0.0.1->10.0.0.16:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.906457,10.0.0.1,10.0.0.16,ICMP,10.0.0.1->10.0.0.16:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:15.916026,10.0.0.1,10.0.0.16,ICMP,10.0.0.1->10.0.0.16:ICMP,NORMAL,NORMAL,3.0,3,5,s5,icmp_non_victim
2026-07-14 20:26:15.983640,10.0.0.1,10.0.0.17,ICMP,10.0.0.1->10.0.0.17:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:15.997929,10.0.0.1,10.0.0.17,ICMP,10.0.0.1->10.0.0.17:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:16.002105,10.0.0.1,10.0.0.17,ICMP,10.0.0.1->10.0.0.17:ICMP,NORMAL,NORMAL,3.0,3,5,s5,icmp_non_victim
2026-07-14 20:26:16.076613,10.0.0.1,10.0.0.18,ICMP,10.0.0.1->10.0.0.18:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
2026-07-14 20:26:16.086825,10.0.0.1,10.0.0.18,ICMP,10.0.0.1->10.0.0.18:ICMP,NORMAL,NORMAL,2.0,2,5,s1,icmp_non_victim
2026-07-14 20:26:16.095114,10.0.0.1,10.0.0.18,ICMP,10.0.0.1->10.0.0.18:ICMP,NORMAL,NORMAL,3.0,3,5,s5,icmp_non_victim
2026-07-14 20:26:16.176908,10.0.0.1,10.0.0.19,ICMP,10.0.0.1->10.0.0.19:ICMP,NORMAL,NORMAL,1.0,1,5,s2,icmp_non_victim
